League,Division,Team,Wins,Losses,Win Pct,GB,Home,Away
American League,East,NYY,94,68,0.58,0,44-37,50-31
American League,East,BAL,91,71,0.562,3,44-37,47-34
American League,East,BOS,81,81,0.5,13,38-43,43-38
American League,East,TB,80,82,0.494,14,42-39,38-43
American League,East,TOR,74,88,0.457,20,39-42,35-46
American League,Central,CLE,92,69,0.571,0,50-30,42-39
American League,Central,KC,86,76,0.531,6.5,45-36,41-40
American League,Central,DET,86,76,0.531,6.5,43-38,43-48
American League,Central,MIN,82,80,0.506,10.5,43-38,39-42
American League,Central,CWS,41,121,0.253,51.5,23-58,18-63
American League,West,HOU,88,73,0.547,0,46-35,42-38
American League,West,SEA,85,77,0.525,3.5,49-32,36-45
American League,West,TEX,78,84,0.481,10.5,44-37,34-47
American League,West,OAK,69,93,0.426,19.5,38-43,31-50
American League,West,LAA,63,99,0.389,25.5,32-49,31-50
National League,East,PHI,95,67,0.586,0,54-27,41-40
National League,East,ATL,89,73,0.549,6,46-35,43-38
National League,East,NYM,89,73,0.549,6,46-35,43-38
National League,East,WSH,71,91,0.438,24,38-43,33-48
National League,East,MIA,62,100,0.383,33,30-51,32-49
National League,Central,MIL,93,69,0.574,0,47-34,46-35
National League,Central,CHC,83,79,0.512,10,44-37,39-42
National League,Central,STL,83,79,0.512,10,44-37,39-42
National League,Central,CIN,77,85,0.475,16,39-42,38-43
National League,Central,PIT,76,86,0.469,17,39-42,37-44
National League,West,LAD,98,64,0.605,0,52-29,46-35
National League,West,SD,93,69,0.574,5,45-36,48-33
National League,West,ARI,89,73,0.549,9,44-37,45-36
National League,West,SF,80,82,0.494,18,42-39,38-43
National League,West,COL,61,101,0.377,37,37-44,24-57
